name,phone,car_brand,car_model,car_age_years,km_driven,last_service_months,issue_text,service_category,priority_level,estimated_hours
Tim Romero,448.954.2360x013,BMW,3-Series,6,12436,23,aircon not cooling. Travel player home.,AC,Low,5.2
Erica Garcia,(697)668-0463x1994,Kia,Sonet,7,21624,34,squealing noise from belt,Engine,Medium,4.2
Joy Cooper,(476)275-5333x29655,BMW,5-Series,2,72213,6,strange smell from cabin. With lead without your.,AC,Low,4.5
Megan Young,201.212.5085x08855,Maruti,Baleno,9,1000,22,battery dies quickly. Skin few accept talk get player.,General Check,High,2.1
Anne Johnson,(891)639-8425,Hyundai,i20,1,52908,15,battery dies quickly. Book which claim commercial image officer process sure.,Electrical,High,1.9
Danielle Anderson,+1-594-630-3734x89246,Hyundai,i20,15,63454,13,engine oil leak,Oil Change,Medium,1.9
Rachael Miller,764.874.4942,Toyota,Corolla,4,65405,28,strange smell from cabin. Nor table cover top voice natural woman speech.,Brakes,Medium,4.1
Peter Ashley,(723)293-4428x6784,Honda,Civic,4,1000,31,battery dies quickly,Electrical,High,2.5
Robert Myers,001-608-825-0916,Maruti,Baleno,0,1000,1,battery dies quickly,Electrical,High,2.0
Mark Gordon,(630)371-1414x8947,Hyundai,i20,4,42798,14,battery dies quickly,Electrical,High,2.0
Kurt Bell,578.563.8186x880,Honda,City,5,59524,6,strange smell from cabin,Electrical,Low,2.2
Jeffrey Whitehead,516.766.2673,BMW,3-Series,15,22981,27,vibration while accelerating. Line sing operation people.,Engine,High,7.1
Charles Hall,+1-481-978-6647x0130,Mahindra,Bolero,1,36901,27,strange smell from cabin. Especially lay maybe he.,Electrical,Medium,2.5
John Marquez,249-406-7037x72409,Maruti,Baleno,14,40497,18,tyre puncture frequently,General Check,Medium,2.8
Robert Morse,(802)675-7205,Mahindra,Thar,14,1000,35,squealing noise from belt. Memory alone of trial win wonder since.,Engine,Medium,7.3
William Haley,574.888.2479x197,Hyundai,i20,5,17427,14,strange smell from cabin. Finish program page task.,AC,Low,4.8
Karen Little,001-933-500-7047x89595,Kia,Seltos,14,28570,24,tyre puncture frequently,Engine,Medium,6.5
Diana Miller,(287)239-8042,BMW,3-Series,15,42842,10,engine oil leak. Player live recognize off follow reflect.,Oil Change,Medium,1.6
Vicki Watson,001-505-351-9036x74787,Mahindra,Thar,7,39320,28,tyre puncture frequently. Body along information model face.,Tire,Medium,1.0
Adam Mason,266-226-9309x4383,BMW,3-Series,2,47056,9,car not starting intermittently. Police beat treat play vote field.,General Check,High,0.9
Timothy Hernandez,402-231-8005,Honda,Civic,12,39707,31,car not starting intermittently. Bank church sign responsibility go interest cut.,Engine,High,3.9
Tamara Fox,530.340.4919,Mahindra,Bolero,9,1000,4,squealing noise from belt. Summer quality board consumer clear itself herself local.,General Check,Low,2.7
Jennifer Webb,323-654-8949x219,BMW,5-Series,13,1000,16,engine oil leak. Large girl skin live day.,Oil Change,Medium,1.3
William Joyce,(405)699-4771x16207,Kia,Sonet,3,75842,28,car not starting intermittently,Tire,High,1.3
Tony Henry,814-858-0751,Honda,City,4,1000,18,aircon not cooling. Account spend soon thing increase single.,AC,Low,2.8
Andrew Williams,001-697-760-7208x0350,Mahindra,Bolero,1,79263,26,car not starting intermittently,Brakes,High,2.3
George Johnson,001-766-291-5230x40518,Honda,City,9,33556,20,battery dies quickly,General Check,High,2.4
Harry Harper,001-330-505-0734x430,Honda,City,8,30093,33,engine oil leak. And inside land look.,Oil Change,Medium,0.7
Lisa Bowers,(342)286-1052x11654,BMW,3-Series,10,23433,21,tyre puncture frequently. Art husband four fire easy.,Engine,Low,4.4
Sheila Bennett,613-717-0511,Kia,Seltos,5,1000,13,squealing noise from belt. Difficult success various activity thought.,General Check,Low,1.4
Allen Flynn,(550)414-8474x384,Hyundai,i20,3,48453,15,engine oil leak. Control although son with follow size.,Oil Change,Low,1.4
Sarah Delacruz,240.617.2890,Kia,Sonet,10,61059,16,brakes making noise. Executive say produce wish section international choice.,General Check,Low,1.9
Mrs. Stacy Murray,(873)267-9544,Toyota,Camry,10,11395,24,battery dies quickly. Leader half voice bar.,Engine,High,6.8
Jesus Brown,633.810.5216x4063,BMW,5-Series,14,15470,34,engine oil leak. As with who out inside break.,Oil Change,Medium,2.5
Maria Myers,620-276-5673,Maruti,Baleno,13,63873,16,engine oil leak,Oil Change,Medium,1.5
Jacqueline Wolfe,657-644-6062x030,Maruti,Swift,0,1000,30,strange smell from cabin. Father drug option to during central.,Brakes,Medium,3.8
Kenneth Johnston,+1-383-720-9671x395,Toyota,Camry,8,19922,7,squealing noise from belt,Tire,Low,0.5
Megan Owens,+1-435-663-2546,Honda,City,12,60320,28,engine oil leak. Grow campaign new them scientist him he.,Oil Change,Medium,1.3
Abigail Howard,+1-870-647-2024x79285,Maruti,Swift,5,1000,13,strange smell from cabin,Engine,Low,3.3
Alexis Lopez,976-902-4047x50740,BMW,5-Series,15,66656,7,strange smell from cabin. Most new later laugh available skin down group.,Engine,Medium,3.8
Amy Jackson,001-915-795-0690x1021,Kia,Seltos,7,75847,1,strange smell from cabin. Big blue reality drop.,General Check,Low,1.7
Christie Johnson,(943)652-2849,Honda,Civic,14,38096,26,aircon not cooling. Western financial order.,General Check,Medium,2.0
Renee Lynch,001-794-786-9270x326,Hyundai,Creta,10,53574,28,brakes making noise,Engine,Medium,3.8
Jerry Adams,421-286-3253,Honda,Civic,0,73947,18,squealing noise from belt. Story wrong story food.,Brakes,Low,3.1
James Mitchell,(836)411-0534,Maruti,Swift,12,1000,15,tyre puncture frequently. Ok me high modern then behind treat.,General Check,Medium,2.9
Howard Hubbard,001-720-372-2305x9484,Honda,Civic,3,52220,23,vibration while accelerating. Outside science president marriage.,Engine,High,8.4
Megan Navarro,(947)762-5922x35752,Hyundai,i20,3,49315,26,battery dies quickly,Electrical,High,2.9
Lisa Lane,(483)658-8645,Honda,Civic,12,30444,22,engine oil leak,Oil Change,Medium,0.5
Ryan Hernandez,864-991-2107,Hyundai,Creta,11,24021,12,squealing noise from belt. Cold leg understand parent sister before.,General Check,Medium,2.0
Glenda Glenn MD,524.346.5557x648,Hyundai,Creta,10,40489,5,vibration while accelerating. Whose you color education meet perform.,Engine,High,7.2
Jessica Richard,+1-253-876-1696x2896,Kia,Seltos,9,41068,32,aircon not cooling. Team above attack strong throw word than run.,General Check,Medium,1.3
Robin Fisher,767-444-4892x07508,Kia,Seltos,0,37367,2,vibration while accelerating. Particularly sense teacher follow game.,Oil Change,High,1.5
Cynthia Stephens,495-583-5004x2835,Mahindra,Thar,1,77935,34,aircon not cooling,AC,Medium,6.4
Anna Dodson,001-947-391-3411x216,Maruti,Swift,4,34511,27,tyre puncture frequently. She and most fact.,Tire,Medium,1.7
Mary Curtis,642-251-7034x17976,Mahindra,Thar,11,29552,5,squealing noise from belt. Develop as page sit front ahead be.,General Check,Medium,1.7
James Garza,+1-892-351-4526x4809,Kia,Sonet,3,87260,5,battery dies quickly,Electrical,High,1.0
Brenda Taylor,+1-966-431-8160x9518,Hyundai,i20,5,61954,19,vibration while accelerating,Engine,High,6.6
Jonathan Watson,649.745.3864x20059,Toyota,Camry,15,51314,9,battery dies quickly. Admit record century direction ago they.,General Check,High,1.6
Nathan Norris,001-346-443-1429x361,BMW,5-Series,1,50817,30,strange smell from cabin,Brakes,Medium,4.2
Scott Steele,(431)610-2164x8576,Hyundai,i20,9,36543,31,tyre puncture frequently. Religious citizen become media.,General Check,Medium,1.2
Robert Hess,455-580-8321x53804,BMW,5-Series,3,54294,29,battery dies quickly. Four indeed will range.,Electrical,High,2.8
Derek White,973-418-3947x6698,Hyundai,Creta,2,35658,10,squealing noise from belt,Oil Change,Low,1.8
Amanda Craig,202-917-4480,Honda,Civic,10,67741,5,car not starting intermittently,Engine,High,9.3
Dr. David Mitchell,001-804-302-0910x410,Mahindra,Thar,14,21227,4,strange smell from cabin,General Check,Medium,2.8
Jeffery Miller,(588)660-3217x87542,Honda,Civic,8,63801,18,strange smell from cabin. What less reveal talk safe risk.,Electrical,Low,2.9
Stacy Hoffman,663-952-5133x112,Mahindra,Thar,8,80409,8,strange smell from cabin,Engine,Low,9.5
Randy Wyatt,(958)439-0540,Honda,Civic,11,16581,13,engine oil leak,Oil Change,Medium,0.7
Erin Griffin,201.242.8012,Toyota,Corolla,7,42994,35,brakes making noise,Brakes,Medium,2.8
Janet Parks,232.318.6765x954,Kia,Sonet,2,33214,12,tyre puncture frequently. Continue respond work within occur government.,Tire,Low,1.0
Caitlin Underwood,9836146459,Mahindra,Bolero,4,19968,30,battery dies quickly. Participant government tend apply car author manager.,Electrical,High,2.5
Valerie Morrison,8746738878,Toyota,Corolla,12,15586,13,aircon not cooling,Engine,Medium,4.9
Tiffany Wilkinson,001-455-967-1322x4994,Hyundai,Creta,13,42134,34,car not starting intermittently,General Check,High,2.6
Andrew Mason,561-703-2102x62724,BMW,3-Series,1,53134,3,battery dies quickly,Electrical,High,3.3
Jamie Snyder,387-604-4594,Honda,City,13,58288,6,brakes making noise. Against weight behavior until.,Engine,Medium,5.3
Jennifer Duarte,701.238.6437x7354,Maruti,Swift,15,31750,26,engine oil leak. Newspaper grow why program care cup.,Oil Change,Medium,1.7
Kelly Taylor,931-646-2195x3556,Honda,Civic,0,38899,25,engine oil leak,Oil Change,Medium,1.4
Bradley Cook,3944039410,Toyota,Corolla,8,1000,25,aircon not cooling. Employee win skin up.,AC,Medium,2.4
Jenny Chang,(528)333-9878,Mahindra,Bolero,1,1000,25,aircon not cooling,AC,Medium,3.1
David Garcia,001-567-367-6527,BMW,5-Series,5,20659,8,tyre puncture frequently. Blood personal interest the.,Tire,Low,1.1
Travis Salazar,001-824-761-2358x538,BMW,5-Series,12,36970,17,car not starting intermittently. Feel member thing fly structure list.,General Check,High,1.1
Angel Rios MD,+1-221-742-2274x44371,Mahindra,Bolero,6,48686,4,battery dies quickly. Resource maybe fly.,Electrical,High,3.1
Patricia Duarte DVM,(948)578-8890x511,Honda,Civic,15,16280,14,aircon not cooling,Engine,Medium,6.2
Craig Mason,8472655957,Hyundai,Creta,13,58469,13,engine oil leak. Back government right picture green wonder value.,Oil Change,Medium,0.8
Michele Johnson,235.363.6633,Hyundai,Creta,5,75596,32,strange smell from cabin. Once clear sing safe region current successful.,General Check,Medium,1.1
Joshua Henderson,446-281-2246x87781,Kia,Sonet,8,12973,33,battery dies quickly,Electrical,High,2.4
Sean Zamora,472.937.5536,Mahindra,Thar,9,73870,7,aircon not cooling,General Check,Low,2.2
Sandra Tanner,001-209-461-2662x35110,Mahindra,Thar,1,15186,23,strange smell from cabin. Let teach feeling with whole.,Electrical,Low,1.2
Rachel Clarke,6925088468,Kia,Seltos,15,97090,2,brakes making noise,Engine,Medium,5.1
John Hall,001-825-943-0916x4112,Maruti,Baleno,5,65269,22,tyre puncture frequently,Tire,Low,0.9
Christina Freeman,438-316-7550,Toyota,Camry,13,18892,17,battery dies quickly. Large report court get.,Engine,High,7.8
Rachel Coffey,+1-212-637-8084x021,Honda,City,9,30761,35,engine oil leak. Certain form nearly want pick low scientist.,Oil Change,Medium,1.9
Chris Quinn,270-681-2219x5398,Kia,Sonet,2,56893,12,vibration while accelerating,Brakes,High,4.1
Shannon Ferguson,(537)720-6305x1686,Maruti,Baleno,15,58721,13,squealing noise from belt,General Check,Medium,3.0
Gary Holt,(617)832-4957x54900,Kia,Sonet,3,57277,8,tyre puncture frequently. Light involve power until system color action.,Tire,Low,1.3
David Garcia,656.430.7819x6849,Honda,City,2,52494,18,battery dies quickly,Electrical,High,4.0
Elaine Cardenas,937.876.4808x3284,BMW,3-Series,10,25341,16,strange smell from cabin,Engine,Low,5.7
Diana Ward,(723)812-6833,Toyota,Corolla,6,55701,9,brakes making noise. Hope that education drug already keep until.,Brakes,Low,3.0
Nancy Young,001-542-475-1825,Maruti,Baleno,3,67794,34,squealing noise from belt,Brakes,Medium,2.2
Mrs. Sheryl Hamilton,755.223.0471x38629,Toyota,Corolla,5,51637,27,battery dies quickly,Electrical,High,1.9
Michael Jones,001-416-893-1980x43581,Toyota,Camry,12,24976,35,battery dies quickly. Newspaper season water former pass.,General Check,High,3.0
Thomas Conley,6519415921,Honda,Civic,11,23500,12,tyre puncture frequently. Voice likely season game.,Engine,Medium,7.1
Dr. Matthew Nguyen,465.719.2916x28715,Toyota,Camry,15,1000,29,brakes making noise,General Check,Medium,2.2
Samuel Benson,+1-775-947-3655x33746,Honda,Civic,11,44665,8,car not starting intermittently. Early particularly option Republican step artist dog.,Engine,High,5.0
Lauren Hale,864-752-4022,Maruti,Swift,13,99157,35,squealing noise from belt,General Check,Medium,2.2
Gail Hernandez,001-970-640-3197x54163,Honda,City,5,31474,8,engine oil leak,Oil Change,Low,0.6
Eric Maxwell,(589)209-2746,Toyota,Camry,3,111302,22,tyre puncture frequently. Decision size fight play.,Tire,Low,1.1
Andrew Mcgee,+1-924-393-9921x815,Maruti,Swift,6,64476,36,engine oil leak,Oil Change,Medium,0.8
Thomas Adams,4727091132,Toyota,Camry,9,24117,0,aircon not cooling. Different smile theory remember color.,General Check,Low,2.0
Ms. Amy Franco,625.913.5368x228,Honda,City,2,16122,33,tyre puncture frequently. By develop organization ever.,Tire,Medium,0.7
Amy Johnson,(990)955-7892,Maruti,Swift,4,31828,27,battery dies quickly,Electrical,High,1.2
Shane Smith,9113466819,Honda,City,12,50773,16,brakes making noise,General Check,Medium,1.2
Angela Massey,+1-232-286-9343,Toyota,Corolla,9,40652,0,brakes making noise,General Check,Low,2.6
Amber Jackson,6117430228,Toyota,Camry,1,65465,22,aircon not cooling. Last life draw between of.,AC,Low,5.5
Jeanne Ellis,653.361.3136x86458,Hyundai,i20,10,76372,1,engine oil leak. There professional green treatment race memory.,Oil Change,Low,0.5
Alexandria West,(454)297-2532x26283,Kia,Seltos,12,68987,3,vibration while accelerating,Engine,High,6.0
Michael Alvarado,001-902-651-7580x068,BMW,5-Series,15,69017,29,car not starting intermittently,General Check,High,1.9
Emily Becker,+1-918-380-9985x3094,Mahindra,Bolero,8,8607,22,car not starting intermittently,Tire,High,0.8
Jeremy Turner,+1-555-294-9758,Toyota,Camry,8,42853,17,strange smell from cabin,Engine,Low,4.9
Kathleen Perez,(705)579-9199x526,Hyundai,i20,13,32671,13,engine oil leak. Whom response activity president site test.,Oil Change,Medium,2.1
Michael Nguyen,285.200.7509x633,Honda,City,2,44940,21,battery dies quickly,Electrical,High,2.3
Amanda Anderson,(910)835-2217x31297,BMW,3-Series,10,23161,16,vibration while accelerating. Anyone admit figure treat find.,Engine,High,9.3
Jessica Morales,001-289-691-1380x45801,Hyundai,i20,14,4590,1,aircon not cooling. Pull rather crime would research.,Engine,Medium,2.7
Eric Smith,(933)295-2435,Kia,Sonet,15,98110,2,car not starting intermittently. Laugh born positive body need.,Engine,High,8.0
Sheryl Griffin,(928)973-1452x1454,Hyundai,i20,3,37603,22,strange smell from cabin,AC,Low,3.1
Samuel Smith,001-547-819-5121x03341,BMW,3-Series,6,44388,32,aircon not cooling. Us pretty gun course truth when nor.,AC,Medium,5.2
Nicole Wilson,(813)457-6564x90612,Mahindra,Bolero,1,88167,22,strange smell from cabin,Electrical,Low,2.2
Emily Garcia,970.650.7746x24834,Maruti,Swift,4,61525,29,car not starting intermittently. Republican pull dream organization town.,Electrical,High,2.3
Andrew Hall,516.515.8639x8286,BMW,5-Series,11,8068,12,aircon not cooling. Sing condition defense raise.,General Check,Medium,1.4
Zachary Norman,(867)214-0777x074,Maruti,Baleno,12,64078,11,engine oil leak,Oil Change,Medium,1.6
Teresa Turner,(973)409-6816x7552,Maruti,Baleno,5,46367,26,vibration while accelerating,Electrical,High,2.4
Robin Valenzuela,717.868.8077x3782,Maruti,Baleno,9,84021,36,battery dies quickly,Engine,High,5.0
Deborah Dixon,(538)707-4288x567,Toyota,Camry,10,26310,13,strange smell from cabin. With national phone safe.,General Check,Low,1.4
Henry Torres,001-281-708-8230x3223,Toyota,Corolla,13,58033,19,aircon not cooling,Engine,Medium,8.3
Andrea Bell,356.786.6475x7012,Hyundai,Creta,9,34437,20,squealing noise from belt,Engine,Low,7.7
Julia Sanders,841.753.8510,Maruti,Baleno,13,30537,1,squealing noise from belt,Engine,Medium,7.5
Kathryn Ramirez,(981)909-7937x6956,Toyota,Corolla,7,1000,11,squealing noise from belt. Agency wall nice bring dream by no.,Engine,Low,5.8
Sharon Sullivan,(819)298-7893x61106,Kia,Sonet,11,56704,32,tyre puncture frequently. Space government when record.,General Check,Medium,2.1
Tiffany Randolph,001-561-413-9677x3298,Toyota,Camry,10,1000,1,aircon not cooling,Engine,Low,5.4
Jordan Taylor,(558)855-5330x52154,Maruti,Baleno,3,80583,4,car not starting intermittently,Electrical,High,2.7
Michael Stevens,(215)709-8708,Kia,Seltos,8,67911,24,strange smell from cabin. Require way skill play candidate people.,Tire,Low,0.9
Sarah Fox,944.560.5731x561,Honda,City,14,21183,2,battery dies quickly,General Check,High,1.6
Jasmine Herrera,+1-717-243-0114x5597,Mahindra,Bolero,6,17926,36,brakes making noise,Brakes,Medium,3.2
Andrea Price,001-631-845-3817x310,Honda,City,3,83913,3,strange smell from cabin,Engine,Low,7.8
Jesse Curtis,609.893.7309x75251,Kia,Sonet,7,1000,33,brakes making noise,Brakes,Medium,5.2
Kelsey Morton,314-442-8450,Kia,Seltos,14,42435,5,squealing noise from belt. Its his level suddenly physical.,General Check,Medium,2.5
Anthony Avila,001-596-743-0509x77485,Kia,Seltos,11,14741,34,battery dies quickly. Government available sound right be provide.,General Check,High,2.2
Sandra Weiss,872-578-3234,BMW,3-Series,6,6979,19,strange smell from cabin,Oil Change,Low,1.4
Adam Mccarthy,(674)500-3298x9389,Hyundai,Creta,1,88987,13,vibration while accelerating. Peace should fly enter source west.,AC,High,3.0
Robert Wood,(288)822-8399x380,Honda,Civic,15,46112,21,aircon not cooling. Environment create kind quite human once difference third.,General Check,Medium,2.4
Marcus Wilson,397-251-1337x9087,Maruti,Swift,15,53952,29,tyre puncture frequently. Like let at let peace environmental current.,Engine,Medium,9.0
Connie Gutierrez,477.785.5563x939,Maruti,Baleno,6,32757,17,tyre puncture frequently,Tire,Low,1.0
Andrew Thomas,604-969-7683x0153,Honda,City,12,65786,13,aircon not cooling,General Check,Medium,1.9
Melissa Bentley,994.554.2987,Mahindra,Thar,14,29188,17,battery dies quickly. Single explain dog service.,Engine,High,6.1
William Reed,001-964-291-2982x80552,Kia,Sonet,13,65961,8,vibration while accelerating. However join myself magazine.,Engine,High,4.6
